   121/299     2.96G   0.03797   0.09615   0.01633    0.1504       108       640    0.8345    0.8027    0.9107    0.6075   0.03676    0.3269   0.01718
   122/299     2.96G   0.04091     0.101   0.01763    0.1596       116       640    0.8516     0.803    0.9126    0.5287   0.03766    0.3318    0.0166
   123/299     2.96G   0.04743    0.1036   0.01632    0.1674       105       640    0.8735     0.812    0.9129    0.5465   0.04122    0.3375   0.01661
   124/299     2.96G   0.04654    0.1052   0.01715    0.1689       122       640    0.9506    0.7978    0.9122    0.6043   0.03388    0.3244   0.01653
   125/299     2.96G   0.03838   0.09554   0.01628    0.1502        53       640    0.9426    0.8186    0.9144    0.6188   0.03438    0.3199   0.01617
   126/299     2.96G   0.03798   0.09788   0.01525    0.1511       113       640    0.9191    0.8624    0.9148    0.6121   0.03409    0.3185    0.0158
   127/299     2.96G   0.04516    0.1056   0.01594    0.1667       120       640    0.9165    0.8653    0.9147    0.5489   0.04086    0.3342    0.0154
   128/299     2.96G    0.0443   0.09852   0.01497    0.1578        90       640    0.9672    0.8302    0.9146    0.6243   0.03458    0.3251   0.01511
   129/299     2.96G   0.03701   0.09979   0.01475    0.1516       156       640    0.9361    0.8736    0.9191      0.62   0.03652    0.3286    0.0147
   130/299     2.96G   0.04128   0.09699   0.01488    0.1531        76       640    0.9541    0.8742    0.9284    0.6243   0.03472    0.3255    0.0145
   131/299     2.96G   0.04006   0.09049   0.01376    0.1443        85       640    0.9504    0.8759    0.9299    0.6355   0.03411    0.3236   0.01427
   132/299     2.96G   0.04017   0.09953   0.01465    0.1543       102       640    0.9559    0.8809    0.9296    0.5999   0.03442    0.3225   0.01405
   133/299     2.96G   0.03698   0.09536   0.01436    0.1467        89       640    0.9334    0.8805    0.9252    0.6082   0.03492    0.3213   0.01378
   134/299     2.96G   0.03819   0.09519   0.01368    0.1471        65       640    0.9834    0.8785    0.9364    0.6589   0.03321    0.3178   0.01348
   135/299     2.96G   0.03833   0.09735    0.0132    0.1489       152       640    0.9829    0.8822    0.9374     0.648   0.03581    0.3264   0.01329
   136/299     2.96G   0.04104   0.09941   0.01303    0.1535        84       640     0.987    0.8835    0.9441    0.6211   0.03517    0.3261   0.01318
   137/299     2.96G   0.03766   0.09663   0.01371     0.148       100       640    0.9813    0.8866    0.9495    0.6371   0.03584    0.3276    0.0128
   138/299     2.96G   0.03784   0.09768   0.01334    0.1489        78       640    0.9857    0.8878    0.9629    0.6814    0.0333    0.3194    0.0124
   139/299     2.96G   0.03864   0.09449   0.01282    0.1459       113       640    0.9895    0.8871     0.974    0.6757   0.03503    0.3236   0.01215
   140/299     2.96G   0.03908    0.0952   0.01241    0.1467       109       640    0.9877    0.8931    0.9731    0.6761   0.03358     0.318   0.01196
   141/299     2.96G   0.03728   0.09359   0.01218     0.143        78       640    0.9884    0.8951    0.9652    0.6223   0.03446    0.3193    0.0118
   142/299     2.96G   0.03753   0.09285   0.01179    0.1422        64       640    0.9944    0.8906     0.953    0.6791   0.03201    0.3164   0.01169
   143/299     2.96G   0.03952     0.094   0.01188    0.1454       112       640    0.9912    0.8907    0.9541    0.6528   0.03515    0.3223   0.01148
   144/299     2.96G   0.04264   0.09878   0.01089    0.1523        76       640    0.9538    0.9077    0.9536     0.659   0.03465      0.32   0.01139
   145/299     2.96G   0.03672   0.09436   0.01124    0.1423       130       640    0.9911    0.8951    0.9676    0.6525   0.03497    0.3251   0.01114
   146/299     2.96G   0.03914   0.09632   0.01162    0.1471       131       640    0.9963    0.8947    0.9677    0.6634   0.03308    0.3191   0.01084
   147/299     2.96G   0.03992   0.09293    0.0113    0.1442        61       640    0.9958    0.8941    0.9634    0.6009   0.03725    0.3335    0.0106
   148/299     2.96G   0.04381    0.1021   0.01184    0.1577       113       640    0.9945     0.896    0.9722     0.663   0.03378    0.3249   0.01052
   149/299     2.96G   0.03833   0.09124   0.01178    0.1414        82       640    0.9959    0.8933    0.9733    0.6298   0.03397     0.326   0.01044
   150/299     2.96G   0.03876   0.09398   0.01158    0.1443        92       640    0.9966    0.8934    0.9719    0.6866   0.03255    0.3123   0.01016
   151/299     2.96G   0.03894   0.09333   0.01037    0.1426        52       640    0.9948     0.896    0.9765    0.6953    0.0345    0.3164   0.01005
   152/299     2.96G   0.04057   0.09575   0.01105    0.1474       116       640    0.9958     0.896    0.9847    0.7063   0.03266    0.3127   0.00987
   153/299     2.96G   0.03406   0.09475   0.01026    0.1391       144       640     0.997    0.8962    0.9853    0.6988   0.03219    0.3132  0.009715
   154/299     2.96G   0.03641   0.09018      0.01    0.1366        60       640    0.9967    0.8963    0.9841    0.6982   0.03279    0.3131  0.009421
   155/299     2.96G    0.0374   0.09202  0.009922    0.1393        98       640    0.9977    0.8964     0.989    0.6789   0.03395    0.3153  0.009254
   156/299     2.96G   0.03997   0.09649   0.01121    0.1477        88       640    0.8683    0.9761    0.9934    0.6805   0.03326    0.3136  0.009143
   157/299     2.96G   0.03591   0.09156    0.0105     0.138        60       640    0.8632    0.9758    0.9933    0.6906   0.03286    0.3147  0.008975
   158/299     2.96G   0.03793   0.09109   0.01011    0.1391       105       640    0.8816    0.9791    0.9934    0.6833   0.03308     0.315  0.008669
   159/299     2.96G   0.04228   0.09849  0.009472    0.1502        86       640    0.8985    0.9801    0.9935    0.6546   0.03613    0.3231   0.00855
   160/299     2.96G   0.04378   0.09836  0.009584    0.1517       100       640     0.965    0.9635    0.9935    0.6786   0.03374    0.3179  0.008627
   161/299     2.96G    0.0356   0.09231   0.00936    0.1373       129       640    0.9465    0.9657    0.9934    0.7139   0.03196    0.3126   0.00863
   162/299     2.96G   0.03613   0.09306  0.009708    0.1389       104       640    0.9374    0.9835    0.9934    0.7174   0.03162    0.3089  0.008504
   163/299     2.96G    0.0355   0.08652  0.009265    0.1313        84       640    0.9425    0.9823    0.9935    0.6999   0.03248    0.3114  0.008379
   164/299     2.96G   0.03747   0.09606  0.009208    0.1427        80       640    0.9423    0.9978    0.9934    0.7091   0.03217    0.3098  0.008207
   165/299     2.96G   0.03475   0.09001  0.009078    0.1338        76       640     0.977     0.965    0.9935    0.7181   0.03238    0.3132  0.007964
   166/299     2.96G   0.03602   0.09297  0.008832    0.1378       101       640    0.9532    0.9925    0.9935     0.711    0.0316    0.3106  0.007752
   167/299     2.96G   0.03582   0.09313  0.008492    0.1374       107       640    0.9689    0.9926    0.9935    0.6819   0.03294     0.311  0.007625
   168/299     2.96G   0.03841   0.09394  0.009518    0.1419        88       640     0.965    0.9925    0.9935    0.6969   0.03228     0.313  0.007614
   169/299     2.96G   0.03657   0.09227  0.008364    0.1372        77       640    0.9789     0.991    0.9936    0.6806   0.03529    0.3212  0.007509
   170/299     2.96G   0.03733   0.09563  0.008926    0.1419       111       640    0.9911    0.9923    0.9935    0.6944   0.03163    0.3137  0.007436
   171/299     2.96G    0.0372   0.09321  0.009298    0.1397       149       640    0.9911    0.9915    0.9934    0.7099   0.03283    0.3123  0.007387
   172/299     2.96G   0.03835   0.09462  0.009054     0.142       125       640    0.9904     0.998    0.9935    0.7018   0.03274    0.3127   0.00731
   173/299     2.96G   0.03481    0.0883   0.00825    0.1314        50       640    0.9914    0.9978    0.9939    0.6792   0.03281    0.3141  0.007173
   174/299     2.96G   0.03719   0.09684  0.008713    0.1427       124       640    0.9914    0.9984    0.9939    0.6989   0.03135    0.3083  0.007106
   175/299     2.96G   0.03572    0.0957  0.008037    0.1395        85       640    0.9931    0.9974    0.9942    0.7016   0.03255    0.3132  0.007076
   176/299     2.96G   0.03748    0.0903  0.007812    0.1356        79       640    0.9939    0.9984    0.9943    0.7008   0.03206    0.3097  0.006964
   177/299     2.96G   0.03518   0.09164  0.007955    0.1348       123       640    0.9942    0.9984    0.9938    0.6577   0.03234    0.3099  0.006836
   178/299     2.96G   0.03675   0.08941  0.007911    0.1341        59       640    0.9942    0.9976    0.9937    0.7218   0.03137    0.3111  0.006744
   179/299     2.96G   0.03636   0.09211  0.008564     0.137        72       640    0.9942    0.9979    0.9938    0.7149   0.03186    0.3176  0.006718
   180/299     2.96G   0.03787   0.09447  0.007717    0.1401       133       640    0.9934    0.9975    0.9941    0.7166   0.03188    0.3165   0.00668
   181/299     2.96G    0.0348   0.09591  0.008398    0.1391       133       640    0.9942    0.9985     0.994    0.7191   0.03165    0.3124  0.006571
   182/299     2.96G   0.03479   0.09046   0.00734    0.1326        91       640     0.995    0.9985    0.9938    0.7031   0.03197    0.3105  0.006452
   183/299     2.96G   0.03856   0.09094  0.007896    0.1374       128       640    0.9953    0.9981     0.994    0.6632   0.03515    0.3239   0.00639
   184/299     2.96G   0.04154    0.1014  0.007877    0.1509       122       640     0.996    0.9975    0.9943     0.701   0.03284    0.3135  0.006416
   185/299     2.96G   0.03323   0.08957  0.007655    0.1305        78       640    0.9954    0.9974    0.9944    0.7151   0.03185    0.3102   0.00634
   186/299     2.96G   0.03514   0.09297  0.007404    0.1355        94       640    0.9954    0.9971    0.9943    0.7225   0.03167    0.3082  0.006212
   187/299     2.96G   0.03483   0.09352  0.006793    0.1351        86       640    0.9955    0.9975    0.9943    0.6969   0.03206    0.3118  0.006126
   188/299     2.96G   0.03632   0.08855  0.007364    0.1322       116       640    0.9953    0.9978    0.9943    0.7002   0.03168    0.3102  0.006061
   189/299     2.96G   0.03407   0.08959  0.007022    0.1307       110       640    0.9954    0.9983     0.994    0.7015   0.03148    0.3117  0.006032
   190/299     2.96G   0.03351   0.08858  0.007126    0.1292       132       640    0.9966    0.9981    0.9938    0.7075   0.03162    0.3097  0.005925
   191/299     2.96G    0.0365   0.09232  0.008561    0.1374       117       640     0.996    0.9983    0.9939    0.7065    0.0322    0.3109  0.005838
   192/299     2.96G   0.03707   0.08887  0.006307    0.1322       105       640    0.9967    0.9982     0.994     0.704   0.03223    0.3108  0.005747
   193/299     2.96G   0.03611   0.09077  0.007913    0.1348       137       640    0.9965    0.9982    0.9939     0.708    0.0311    0.3075  0.005671
   194/299     2.96G    0.0341   0.08584  0.007033     0.127        74       640    0.9962    0.9981    0.9937    0.7199   0.03107    0.3077  0.005628
   195/299     2.96G   0.03468   0.09126   0.00657    0.1325        83       640    0.9963    0.9981    0.9939    0.7239    0.0315    0.3082  0.005609
   196/299     2.96G   0.03596   0.08538  0.007065    0.1284        66       640    0.9969    0.9982    0.9942     0.727   0.03151     0.312  0.005597
   197/299     2.96G   0.03353   0.08653  0.006839    0.1269        74       640    0.9967    0.9985    0.9942     0.724   0.03117    0.3077  0.005588
   198/299     2.96G   0.03462   0.08795  0.007327    0.1299       106       640    0.9972    0.9985    0.9937    0.7242   0.03131    0.3094  0.005457
   199/299     2.96G   0.03676   0.09493  0.006452    0.1381       100       640    0.9969    0.9985    0.9937    0.7001   0.03277    0.3138  0.005387
   200/299     2.96G   0.03762   0.09356  0.006721    0.1379        95       640    0.9969    0.9968    0.9938    0.7302    0.0313    0.3082  0.005427
   201/299     2.96G   0.03351   0.09499  0.006663    0.1352       129       640    0.9969     0.997    0.9935     0.712   0.03176    0.3124  0.005464
   202/299     2.96G    0.0362   0.08927  0.007146    0.1326        97       640    0.9971     0.997    0.9932    0.7289   0.03028    0.3044  0.005416
   203/299     2.96G   0.03302   0.09019  0.006191    0.1294       114       640    0.9977    0.9967    0.9932    0.7184   0.03112    0.3081   0.00533
